Name,No Race,Native American (self reported),East Asian,African or Af-Am Self Reported,Hispanic,White Self Reported,Other Undefined Race
Jojo,1,0,1,0,0,0,0
Joji,2,0,2,0,0,0,0
Alicia-Lucia,0,0,0,0,1,0,0
Mariosly,1,0,0,0,0,0,0
Recaro,1,0,0,0,0,0,0
Ruirung,1,0,0,0,0,0,0
Jobany,2,0,0,0,0,0,0
Dahee,0,0,1,0,0,0,0
Elwolfine,0,0,0,1,0,0,0
Andreal,1,0,0,0,0,0,0
Jitendrabvai,0,0,1,0,0,0,0
Murriane,1,0,0,0,0,0,0
Axelie,0,0,0,0,1,0,0
Shakeven,0,0,0,1,0,0,0
Casey,74,0,2,10,3,40,9
Sefa,1,0,0,0,0,0,0
Amontes,1,0,0,0,0,0,0
Stecica,1,0,0,0,0,0,0
El Titeondria,0,0,0,1,0,0,0
Capio,1,0,0,0,0,0,0
Vekateswasan,1,0,0,0,0,0,0
Alyn,1,0,0,0,0,1,0
Yijie,0,0,1,0,0,0,0
Hien,10,0,4,0,0,0,2
Ahjiyah,1,0,0,0,0,0,0
Arimentha,1,0,0,0,0,0,0
Samirkumar,1,0,0,0,0,0,0
Ray'Von,1,0,0,0,0,0,0
Yerdwin,1,0,0,0,0,0,0
Charitable,0,0,0,1,0,0,0
Travivus,1,0,0,0,0,0,0
Goo Yong,1,0,0,0,0,0,0
Gabryr,0,0,0,1,0,0,0
Setury,1,0,0,0,0,0,0
Swapnakumari,1,0,0,0,0,0,0
Yrvenson,0,0,0,1,0,0,0
Tyniazia,1,0,0,0,0,0,0
Mishka,0,0,0,0,0,0,1
D' Arcy,1,0,0,0,0,0,0
Najyairah,0,0,0,1,0,0,0
Araamis,1,0,0,0,0,0,0
Manisekar,1,0,0,0,0,0,0
Yaronely,0,0,0,0,1,0,0
Floremidline,0,0,0,1,0,0,0
Akpomuvi,1,0,0,0,0,0,0
Erlen,1,0,0,0,0,0,0
Ke'Yhara,0,0,0,1,0,0,0
Kinjal,1,0,0,0,0,0,0
Timothy-Lopaka,0,0,0,0,0,1,0
Cyrome,1,0,0,0,0,0,0
Octinia,1,0,0,0,0,0,0
Jaeyana,1,0,0,0,0,0,0
Yail,0,0,0,0,1,0,0
Khyeena,0,0,0,1,0,0,0
Mellighny,0,0,0,1,0,0,0
Anteraeal,1,0,0,0,0,0,0
Ca,0,0,1,0,0,0,0
Jayrelix,0,0,0,0,1,0,0
Renal,0,0,0,1,0,0,1
Pingeua,0,0,1,0,0,0,0
Hidalia,1,0,0,0,0,0,0
