Name,No Race,Native American (self reported),East Asian,African or Af-Am Self Reported,Hispanic,White Self Reported,Other Undefined Race
Elizee,0,0,0,1,0,0,0
Zamanian Azodi,0,0,0,0,0,1,0
Kondapalli,1,0,0,0,0,0,0
Mortimer,1,0,0,0,0,0,0
Abbas,1,0,0,0,0,0,0
Htet,1,0,0,0,0,0,0
Perez Delgado,1,0,0,0,0,0,0
Sugay,1,0,0,0,0,0,0
Cherelus,0,0,0,1,0,0,0
Casey,2,0,0,0,0,0,0
Sewell,1,0,0,1,0,0,1
Burton-Johnson,1,0,0,0,0,0,0
Jahuey-Zuniga,0,0,0,0,1,0,0
Roopchan,1,0,0,0,0,0,0
Sapochkinsky,0,0,0,0,0,0,1
Myat,0,0,1,0,0,0,0
Dapus,0,0,0,1,0,0,0
Valle,1,0,0,0,0,0,0
Ruise,1,0,0,0,0,0,0
Sebasco,0,0,0,0,1,0,0
Valeriano,1,0,0,0,0,0,0
Eberle,0,0,1,0,0,0,0
Hillsman,1,0,0,1,0,0,0
Vass,1,0,0,0,0,0,0
Redding,3,0,0,2,0,0,0
Kearney,1,0,0,0,0,0,1
Tomasen Vila,1,0,0,0,0,0,0
Miers,0,0,0,0,0,1,0
Sack,0,0,0,0,0,1,0
Fofana,1,0,0,1,0,0,0
Rojas,2,0,0,0,6,0,0
Larsen,0,0,0,0,0,1,0
Paul,12,0,1,5,0,0,1
Jerez,1,0,0,0,0,0,0
Lowery,2,0,0,1,0,0,1
Bavaria,1,0,0,0,0,0,0
Graciano Renteria,1,0,0,0,0,0,0
Gressette,1,0,0,0,0,0,0
Matthew,0,0,0,1,0,0,0
Ainleye,1,0,0,0,0,0,0
Townsend,2,0,0,1,0,0,0
Kaczynski,1,0,0,0,0,0,0
Leggett,2,0,0,0,0,0,0
Chintalpati,1,0,0,0,0,0,0
Marrah,1,0,0,0,0,0,0
Jeandavis,1,0,0,0,0,0,0
Olivares,2,0,0,0,1,0,0
Cabbs,0,0,0,0,0,0,1
Hamilton,9,0,0,1,1,2,0
Descart,0,0,0,0,1,0,0
Collman,0,0,0,1,0,0,0
Sabarwal,1,0,0,0,0,0,0
Salien,1,0,0,0,0,0,0
Hooper,1,0,0,0,0,0,0
Regisma,1,0,0,0,0,0,0
Fridley,1,0,0,0,0,0,0
Rodriguez-Berberena,1,0,0,0,0,0,0
Tapanes Diaz,1,0,0,0,0,0,0
Gadsden,1,0,0,0,0,0,0
Hilkey,1,0,0,0,0,0,0
Tseten,1,0,0,0,0,0,0
McClinton,2,0,0,0,0,0,0
Churkoski,0,0,0,0,0,1,0
Radhakrishnan,0,0,1,0,0,0,0
Balser,1,0,0,0,0,0,0
Shifferly,0,0,0,1,0,0,0
Reyes Gonzalez,1,0,0,0,0,0,0
Mejia-Boreta,1,0,0,0,0,0,0
Pavan,1,0,0,0,0,0,0
Audu,1,0,0,0,0,0,0
Dominique,1,0,0,0,0,0,0
Felipe,1,0,0,0,1,0,0
Xiao,7,0,1,0,0,0,0
Dubose,1,0,0,0,0,0,0
Onasanya,1,0,0,0,0,0,0
Jewell,1,0,0,0,0,0,0
Stabile,1,0,0,0,0,0,0
Hamad,1,0,0,0,0,0,0
Wattana Rungsun,1,0,0,0,0,0,0
Thepye,1,0,0,0,0,0,0
Isler,3,0,0,0,0,0,0
Monbrun,0,0,0,1,0,0,0
Gadcom,1,0,0,0,0,0,0
Pereira Fernandez,0,0,0,0,1,0,0
Wamley,0,0,0,1,0,0,0
Harvey,2,0,0,1,0,0,0
McLoud,1,0,0,0,0,0,0
Nordahl,1,0,0,0,0,0,0
Jurado,1,0,0,0,0,0,0
Holton,1,0,0,0,0,0,0
McFadin,1,0,0,0,0,0,0
Mustapha,1,0,0,0,0,0,0
Gouin,0,0,0,1,0,0,0
Wales,1,0,0,0,0,0,0
Class-Vazquez,1,0,0,0,0,0,0
Jumper,1,0,0,0,0,0,0
Naziri,1,0,0,0,0,0,0
Porch,0,0,0,0,0,1,0
Whyte-James,1,0,0,0,0,0,0
Adhikari,1,0,0,0,0,0,0
Fisseha Weldeyohannse,1,0,0,0,0,0,0
Baldriche,0,0,0,0,1,0,0
Penaranda,0,0,0,0,1,0,0
Caine,1,0,0,0,0,0,0
Adhikary,0,0,1,0,0,0,0
Christina,0,0,1,0,0,0,0
Timaitre,1,0,0,0,0,0,0
Castellano,0,0,0,0,2,0,0
Emerson,1,0,0,0,0,0,0
Iglesias Rivero,0,0,0,0,1,0,0
Rajabov,0,0,0,0,0,1,0
Lanotpaul,1,0,0,0,0,0,0
Bonthu,1,0,0,0,0,0,0
Onassis,1,0,0,0,0,0,0
Jimenez Figueroa,0,0,0,0,0,1,0
Gogolyak,0,0,0,0,0,1,0
Shrivastava,1,0,0,0,0,0,1
Luna,3,0,0,0,2,1,0
Lund,0,0,1,0,0,0,0
Barsaga,1,0,0,0,0,0,0
Prusher,0,0,0,0,0,1,0
Gbilia,0,0,0,1,0,0,0
Le,30,1,19,0,0,0,4
La,2,0,1,0,0,0,0
Lo,6,0,0,0,0,0,0
Li,51,0,21,0,0,0,1
Khar,1,0,0,0,0,0,0
Daza,0,0,1,0,0,0,0
Lu,9,0,8,0,0,0,0
Delatorre,1,0,0,0,0,0,0
McClelland,1,0,0,0,0,0,0
Alberdeston,1,0,0,0,0,0,0
Ly,4,0,2,0,0,0,0
Hostallero,1,0,0,0,0,0,0
Mullino,1,0,0,0,0,0,0
Spurlin,0,0,0,0,0,1,0
Paquada Ordares,0,0,0,0,1,0,0
Benoit,2,0,0,1,0,0,1
Gardner,3,0,0,0,0,0,0
Solimon,1,0,0,0,0,0,0
Baudek,0,0,0,0,0,1,0
Falcon,1,0,0,0,0,0,0
Mullins,2,0,0,0,0,0,0
Pjepi,0,0,0,0,0,1,0
A,1,0,0,0,0,0,0
Bates,3,0,0,2,0,0,0
Nettles,0,0,0,3,0,0,0
Biussaeth,0,0,0,1,0,0,0
Marineau,1,0,0,0,0,0,0
Brahmbhatt,1,0,0,0,0,0,0
Temoney,1,0,0,0,0,0,0
Reese,3,0,0,2,0,0,0
Hankins,2,0,0,0,0,0,0
Matlock,1,0,0,0,0,0,0
Ahamed,0,0,1,0,0,0,0
Pritchand,0,0,0,1,0,0,0
Ramirez-Vasquez,1,0,0,0,0,0,0
Quiny,1,0,0,0,0,0,0
Gordan,1,0,0,0,0,0,0
Garcia Valdes,1,0,0,0,0,0,0
Perez Lajara,1,0,0,0,0,0,0
Ramdai,1,0,0,0,0,0,0
Zubizarreta,1,0,0,0,0,0,0
Quinn,1,0,0,0,0,1,0
Scnwartz,1,0,0,0,0,0,0
Grigoriy,1,0,0,0,0,0,0
Monterrey,1,0,0,0,1,0,0
Rosier,0,0,0,1,0,0,0
Wills,0,0,0,0,0,1,0
Farrada,1,0,0,0,0,0,0
Jules,1,0,0,2,0,0,2
Cuiyun,1,0,0,0,0,0,0
Voltaire,2,0,0,0,0,0,0
Hamumtanga,1,0,0,0,0,0,0
Robertson,2,0,1,2,0,0,0
Tola,0,0,0,0,0,0,1
Broadbent,1,0,0,0,0,0,0
Barbee,1,0,0,0,0,0,0
Dareus,0,0,0,1,0,0,0
McDougall,1,0,0,0,0,0,0
Kearns,1,0,0,0,0,1,0
