Name,No Race,Native American (self reported),East Asian,African or Af-Am Self Reported,Hispanic,White Self Reported,Other Undefined Race
,7685,22,940,1299,1157,631,466
Keun,1,0,0,0,0,0,0
Jeriquez,1,0,0,0,0,0,0
Leal,1,0,0,0,0,0,0
Hinojosa,1,0,0,0,0,0,0
Alhalid,1,0,0,0,0,0,0
Nay Aye,1,0,0,0,0,0,0
Encarnacion,1,0,0,0,0,0,0
Bailey,5,0,0,0,0,0,0
Deivany,1,0,0,0,0,0,0
Andreal,1,0,0,0,0,0,0
Val-Denise,1,0,0,0,0,0,0
Komong,1,0,0,0,0,0,0
Autanette,0,0,0,1,0,0,0
Latieriecka,0,0,0,1,0,0,0
Jemiah,1,0,0,0,0,0,0
Casey,2,0,0,0,0,2,0
Da Cruz,1,0,0,0,0,0,0
Ashante-Devon,1,0,0,0,0,0,0
Ayodejr,1,0,0,0,0,0,0
Tsane,1,0,0,0,0,0,0
Kynyarda,1,0,0,0,0,0,0
Sehrize,0,0,0,1,0,0,0
Jhahiem Armani,1,0,0,0,0,0,0
Daughtry,1,0,0,0,0,0,0
Promesse,1,0,0,0,0,0,0
Shacoy,1,0,0,0,0,0,0
Nmachi,0,0,0,1,0,0,0
Vinnie,1,0,0,0,0,0,0
Le'Frances,1,0,0,0,0,0,0
Chi'Armani Charif,1,0,0,0,0,0,0
Romoddee,1,0,0,0,0,0,0
Romanovski,1,0,0,0,0,0,0
Shaileshlal,1,0,0,0,0,0,0
Arfilio,1,0,0,0,0,0,0
Gu,1,0,0,0,0,0,0
Jahquan-Zaire,1,0,0,0,0,0,0
Tyayajia,1,0,0,0,0,0,0
Tamea-Rose,1,0,0,0,0,0,0
Payne,1,0,0,0,0,0,0
Tatiyana-Renay,1,0,0,0,0,0,0
Aleveia,0,0,0,1,0,0,0
Mallik,1,0,0,0,0,0,0
McCorley,1,0,0,0,0,0,0
Tanajh,1,0,0,0,0,0,0
Wolguina,1,0,0,0,0,0,0
Bacot,1,0,0,0,0,0,0
Nazeriah,1,0,0,0,0,0,0
Pande,0,0,0,0,0,0,1
Chanaysia,1,0,0,0,0,0,0
Meontare,1,0,0,0,0,0,0
Jing,2,0,0,0,0,0,0
Azahne,1,0,0,0,0,0,0
Chime'Re,0,0,0,1,0,0,0
Kealameakaikamahineo,1,0,0,0,0,0,0
Shawnfezia,0,0,0,1,0,0,0
Dshi,0,0,0,1,0,0,0
Nykoal,0,0,0,1,0,0,0
Ahred,1,0,0,0,0,0,0
Edds,1,0,0,0,0,0,0
Wafisat,1,0,0,0,0,0,0
Jabriel-Leland,1,0,0,0,0,0,0
Saydoyevna,1,0,0,0,0,0,0
Enos-Evans,0,0,0,0,0,1,0
Marcae,1,0,0,0,0,0,0
Recibe,1,0,0,0,0,0,0
Samulee,1,0,0,0,0,0,0
Mous Twadrous,1,0,0,0,0,0,0
Jojany,0,0,0,0,1,0,0
Brieasia,1,0,0,0,0,0,0
Isuma,0,0,0,0,1,0,0
Requele,0,0,0,1,0,0,0
Katrina-Marie,1,0,0,0,0,0,0
Sabianny,1,0,0,0,0,0,0
Etteirrah,1,0,0,0,0,0,0
Shantez,1,0,0,0,0,0,0
Eliplimi,1,0,0,0,0,0,0
MacKinzie,0,0,0,0,0,1,0
Dyaus,1,0,0,0,0,0,0
Leemontrell,0,0,0,1,0,0,0
Elinius,0,0,0,1,0,0,0
Tuiasoa,0,0,1,0,0,0,0
Inanya Lar'Hys,1,0,0,0,0,0,0
Shea,9,0,0,0,0,4,0
Shen,1,0,0,0,0,0,0
Tere'K,1,0,0,0,0,0,0
Demuntay,1,0,0,0,0,0,0
Xian,0,0,2,0,0,0,0
Khanh,5,0,1,0,0,0,0
Fhansunette,1,0,0,0,0,0,0
Entrell,1,0,0,0,0,0,0
Pylese,0,0,0,1,0,0,0
Deshan,1,0,0,2,0,0,0
Dia'Chae,0,0,0,1,0,0,0
Stocheneila,1,0,0,0,0,0,0
